,Suburb,apartment_price,Num_sales_units,unit_1bed_Rent_today,unit_1bed_unit_avg,unit_1bed_2025_avg,unit_1bed_2026_avg,unit_1bed_2027_avg,unit_1bed_2028_avg,unit_1bed_2029_avg,unit_1bed_2030_avg,unit_1bed_avg_future_rent,unit_1bed_Price_change (%),unit_2bed_Rent_today,unit_2bed_unit_avg,unit_2bed_2025_avg,unit_2bed_2026_avg,unit_2bed_2027_avg,unit_2bed_2028_avg,unit_2bed_2029_avg,unit_2bed_2030_avg,unit_2bed_avg_future_rent,unit_2bed_Price_change (%),unit_3bed_Rent_today,unit_3bed_unit_avg,unit_3bed_2025_avg,unit_3bed_2026_avg,unit_3bed_2027_avg,unit_3bed_2028_avg,unit_3bed_2029_avg,unit_3bed_2030_avg,unit_3bed_avg_future_rent,unit_3bed_Price_change (%),apartment_ALL_avg_price_change(%),apartment_ALL_future_rent,apartment_Annual ROI (%),apartment_5yr ROI (%)
216,KEW,828000,66,472.9344948779635,472.9344948779635,483.0655428998142,492.1152006166933,504.7107117276192,517.2454014578,529.7362481588136,537.545988432607,505.33622688161574,6.411915528716474,563.2970866717998,563.2970866717998,576.7381279617016,592.2567713740955,608.7883824655463,624.7292804265835,639.8190072330474,649.1961479567427,607.8321148699309,7.3268633079154,829.5013692697274,829.5013692697274,829.7088983419615,845.1440420818535,865.7242337350431,886.3044253882326,906.8846170414223,919.7472368246656,869.0021175261294,4.545529574640447,6.094769470424107,660.723486425892,0.07979752251520435,0.3989876125760217
29,BAYSWATER,665000,31,393.29411764705856,393.29411764705856,397.35294117647027,402.76470588235264,,,,,397.8039215686272,1.1336750788643517,486.264737061573,486.264737061573,497.9302112625603,519.0948928895409,544.0341699627577,566.0428559056377,585.9691738348049,597.6874807894333,542.4319316723297,10.354699148627185,588.8674366944399,588.8674366944399,599.7140016269882,622.5668091608792,648.6630483904164,672.2547625308257,694.0954174163028,707.1356092593886,647.6138692970344,9.071212861201074,6.85319569623087,529.283240845997,0.07959146478887173,0.3979573239443587
396,TORQUAY,757500,12,346.6834188286495,346.6834188286495,350.4830154641965,358.05589024872205,367.0318981000449,,,,355.5635556604032,2.49748228984274,504.8246912092338,504.8246912092338,509.0709942958871,518.4869065271528,533.4930940240296,548.1271546116876,562.8981935964454,572.1202961887324,535.574475779024,5.7414581837685486,631.7969659769315,631.7969659769315,629.006732094231,645.006873181199,664.6483689729101,683.9952699448313,702.2924144146566,713.2328605158062,667.1399264429381,5.29768329928153,4.5122079242976065,519.4259859607885,0.06857108725554964,0.34285543627774817
45,BLACKBURN,855000,43,452.1628027563159,452.1628027563159,457.0401601382224,466.79487490203553,479.8011612537863,492.807447605537,505.8137339572878,513.942662927132,481.194691934331,6.033293730093161,554.3186913110467,554.3186913110467,560.3531521417422,567.9226450169979,575.8517415745299,584.2835606654435,594.2212945179713,600.8385825873413,576.8270954021533,3.9021058945599942,652.2946697765058,652.2946697765058,656.688601333216,669.5052690349777,686.6020452686639,703.6584273268103,720.7142790873492,731.3741821192283,688.6910677066787,5.284865687509481,5.073421770720878,582.237618347721,0.06809796705821299,0.3404898352910649
7,ALTONA,753500,44,369.75522841164616,369.75522841164616,380.87299241177357,401.2052458075146,420.3846425903908,435.92912056637823,449.560987806017,457.6594327655198,416.48109290846287,11.219204254990382,477.8577169366884,477.8577169366884,487.95726123257407,503.8071872488668,520.5942324476682,535.1409136170564,548.8685895165751,557.2859577005937,518.7874083857175,7.88949207082489,555.354849857613,555.354849857613,564.6271701199039,587.4990993678655,588.7080764293815,612.0155016093208,624.604080947922,628.8261344827384,594.5192732592493,6.587578429027325,8.565424918280867,509.92925818447657,0.06767475224744215,0.33837376123721075
429,WILLIAMSTOWN,940000,23,446.01292609585846,446.01292609585846,432.2099834742596,442.3850233698559,454.91604131500117,467.274907131086,479.63306296307377,487.356908532455,458.54126469737,2.7322161746511666,532.621796122003,532.621796122003,520.3702268133259,515.4932131876898,520.3469495054604,537.7008549357466,556.6134179899653,567.324529760253,535.7815697592063,0.5897503414727943,652.8189337537951,652.8189337537951,657.59397271746,680.9602567234396,696.1233527471422,711.7713819653227,727.4194111835031,737.1994294448659,694.8409626479327,6.047718996588514,3.123228504237492,563.0545990348363,0.05989942542923791,0.29949712714618953
56,BRIGHTON,1495000,60,452.0727501822946,452.0727501822946,462.57529530680813,460.28311381189906,472.8604098497426,483.07699537970836,493.9059922756944,500.5658300840654,475.0486266986018,4.836531509622578,649.3269510631542,649.3269510631542,654.993532631158,664.1270354971268,681.0590404297305,697.5564319179568,714.1255495294289,724.4736639785226,683.6660292924397,5.02278550607886,956.5,956.5,966.25,985.75,1011.75,1037.75,1063.75,1080.0,1014.5357142857143,5.7204210229872965,5.193246012896245,724.416790092252,0.048455972581421536,0.24227986290710768
0,ABBOTSFORD,512300,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ABERFELDIE,810000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AIRPORT WEST,654500,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALBERT PARK,1000000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALBION,410000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ALFREDTON,385000,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ALPHINGTON,795000,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ALTONA EAST,728000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ALTONA MEADOWS,568800,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ALTONA NORTH,715000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ARARAT,300000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
