stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"37972","37972","Honeys Rd/Cape Paterson Rd","-38.62648954","145.60420371","","","0","Level 0",""
"37977","37977","Wonthaggi Community Garden/Bass Hwy","-38.58988209","145.58293695","","","0","Level 0",""
"37978","37978","South Dudley Rd/Bass Hwy","-38.58968235","145.58281458","","","0","Level 0",""
"37979","37979","Wonthaggi Secondary College/South Dudley Rd","-38.59287026","145.58040954","","","0","Level 0",""
"37985","37985","San Remo Post Office/Marine Pde","-38.52065897","145.37116162","","","0","Level 0",""
"37986","37986","Cape Woolamai/Phillip Island Rd","-38.52104055","145.33487204","","","0","Level 0",""
"37987","37987","General Store/Phillip Island Rd","-38.50788458","145.29112542","","","0","Level 0",""
"37988","37988","Sunderland Bay/Phillip Island Rd","-38.50273776","145.28117867","","","0","Level 0",""
"37989","37989","Panorama Ave/Back Beach Rd","-38.49789890","145.26895557","","","0","Level 0",""
"37990","37990","Dolphin Dr/Back Beach Rd","-38.49693830","145.25947285","","","0","Level 0",""
"37991","37991","Ventnor Beach Rd/Gap Rd","-38.48161727","145.23944695","","","0","Level 0",""
"37992","37992","Ventnor Beach Rd/Gap Rd","-38.48151577","145.23928893","","","0","Level 0",""
"37993","37993","Dolphin Dr/Back Beach Rd","-38.49682239","145.25955591","","","0","Level 0",""
"37994","37994","Sunset Strip/Back Beach Rd","-38.49776293","145.26890150","","","0","Level 0",""
"37997","37997","St Marys Church/Phillip Island Rd","-38.46431887","145.23905394","","","0","Level 0",""
"37998","37998","Bermagui Cres/Phillip Island Rd","-38.49275145","145.26820738","","","0","Level 0",""
"37999","37999","Sunderland Bay/Phillip Island Rd","-38.50261216","145.28121606","","","0","Level 0",""
"38000","38000","General Store/Phillip Island Rd","-38.50778084","145.29142605","","","0","Level 0",""
"38001","38001","Cape Woolamai/Phillip Island Rd","-38.52083418","145.33493415","","","0","Level 0",""
"38002","38002","Forrest Ave/Phillip Island Rd","-38.51537375","145.35921479","","","0","Level 0",""
"38003","38003","Anderson Bus Interchange/Bass Hwy","-38.52633705","145.44750160","","","0","Level 0",""
"38006","38006","Cutty Sark Rd/Gellibrand St","-38.43803866","145.44036658","","","0","Level 0",""
"38008","38008","Leongatha Secondary College/Nerrena Rd","-38.47882869","145.96257333","","","0","Level 0",""
"38009","38009","Harleys Bus Depot/Kardella Rd","-38.43360703","145.83865840","","","0","Level 0",""
"38012","38012","Corinella Rd/Bass Hwy","-38.43299625","145.49650942","","","0","Level 0",""
"38013","38013","Dalyston-Glen Forbes Rd/Bass Hwy","-38.43366337","145.49652996","","","0","Level 0",""
"38014","38014","Maru Fauna Park/Bass Hwy","-38.41825231","145.52192305","","","0","Level 0",""
"38015","38015","Pier Rd/Bass Hwy","-38.40692438","145.53049132","","","0","Level 0",""
"38016","38016","Grantville-Glen Alvie Rd/Bass Hwy","-38.40815348","145.53005413","","","0","Level 0",""
"38017","38017","Deep Creek St/Bass Hwy","-38.39843187","145.53740807","","","0","Level 0",""
"38018","38018","Pioneer Bay/Bass Hwy","-38.38150330","145.55299859","","","0","Level 0",""
"38019","38019","Pioneer Bay/Bass Hwy","-38.37969742","145.55563334","","","0","Level 0",""
"38022","38022","Koo Wee Rup Bus Interchange/Rossiter Rd","-38.19998192","145.49026010","","","0","Level 0",""
"38026","38026","Caravan Park/Princes Hwy","-38.07151785","145.49175358","","","0","Level 0",""
"38027","38027","King St/Princes Hwy","-38.07214354","145.48714649","","","0","Level 0",""
"38032","38032","St Patricks PS/Princes Hwy","-38.07054671","145.47377319","","","0","Level 0",""
"38036","38036","Thewlis Rd/Princes Hwy","-38.06087797","145.45044798","","","0","Level 0",""
"38053","38053","Cardinia Rd/Princes Hwy","-38.06229307","145.43821034","","","0","Level 0",""
"38054","38054","Thewlis Rd/Princes Hwy","-38.06020296","145.44778365","","","0","Level 0",""
